sentence,keys,id
['nhìn'],['nhìn'],['000000']
['địa chỉ'],['địa chỉ'],['000001']
['nhỏ hơn'],['nhỏ hơn'],['000002']
['địa chỉ'],['địa chỉ'],['000003']
['nhỏ tuổi'],['nhỏ tuổi'],['000004']
['địa chỉ'],['địa chỉ'],['000005']
['nhóm'],['nhóm'],['000006']
['tỉnh'],['tỉnh'],['000007']
['nhọn'],['nhọn'],['000008']
['tiếp tân'],['tiếp tân'],['000009']
['nhân viên'],['nhân viên'],['000010']
['nhọn hoắt'],['nhọn hoắt'],['000011']
['Miến Điện (nước Mi-an-ma)'],['Miến Điện (nước Mi-an-ma)'],['000012']
['nhổ củ cải'],['nhổ củ cải'],['000013']
['nhu cầu'],['nhu cầu'],['000014']
['nhụy hoa'],['nhụy hoa'],['000015']
['Ma Cao'],['Ma Cao'],['000016']
['như hình với bóng'],['như hình với bóng'],['000017']
['Do Thái'],['Do Thái'],['000018']
['nhược điểm'],['nhược điểm'],['000019']
['nhường nhịn'],['nhường nhịn'],['000020']
['Ả Rập (nước Ả Rập)'],['Ả Rập (nước Ả Rập)'],['000021']
['niềm vui'],['niềm vui'],['000022']
['phương Tây'],['phương Tây'],['000023']
['Ninh Bình'],['Ninh Bình'],['000024']
['phương Đông'],['phương Đông'],['000025']
['no'],['no'],['000026']
['Đu Bai (nước Đu Bai)'],['Đu Bai (nước Đu Bai)'],['000027']
['Albania (nước Albania)'],['Albania (nước Albania)'],['000028']
['nỏ'],['nỏ'],['000029']
['người nước ngoài'],['người nước ngoài'],['000030']
['nóc nhà'],['nóc nhà'],['000031']
['nhập khẩu'],['nhập khẩu'],['000032']
['nói chuyện'],['nói chuyện'],['000033']
['nói dối'],['nói dối'],['000034']
['Tuy Hoà'],['Tuy Hoà'],['000035']
['nói leo'],['nói leo'],['000036']
['Quy Nhơn'],['Quy Nhơn'],['000037']
['hấp dẫn'],['hấp dẫn'],['000038']
['nón'],['nón'],['000039']
['nô lệ'],['nô lệ'],['000040']
['nổi da gà'],['nổi da gà'],['000041']
['ghen tị'],['ghen tị'],['000042']
['nổ lốp xe'],['nổ lốp xe'],['000043']
['ghen tị'],['ghen tị'],['000044']
['nổ mìn'],['nổ mìn'],['000045']
['ghen tị'],['ghen tị'],['000046']
['nổ súng'],['nổ súng'],['000047']
['lung tung'],['lung tung'],['000048']
['nồi'],['nồi'],['000049']
['lung tung'],['lung tung'],['000050']
['nồi cơm điện'],['nồi cơm điện'],['000051']
['lung tung'],['lung tung'],['000052']
['nổi bật'],['nổi bật'],['000053']
['hói đầu'],['hói đầu'],['000054']
['nổi dậy'],['nổi dậy'],['000055']
['cười nhếch mép'],['cười nhếch mép'],['000056']
['nổi giận'],['nổi giận'],['000057']
['cười vỡ bụng'],['cười vỡ bụng'],['000058']
['nổi nóng'],['nổi nóng'],['000059']
['nội dung'],['nội dung'],['000060']
['tham ăn'],['tham ăn'],['000061']
['nội quy'],['nội quy'],['000062']
['tham ăn'],['tham ăn'],['000063']
['nội tiếp'],['nội tiếp'],['000064']
['tham ăn'],['tham ăn'],['000065']
['nông nghiệp'],['nông nghiệp'],['000066']
['thèm'],['thèm'],['000067']
['nông thôn'],['nông thôn'],['000068']
['thói quen'],['thói quen'],['000069']
['nốt ruồi'],['nốt ruồi'],['000070']
['thói quen'],['thói quen'],['000071']
['khuyến khích'],['khuyến khích'],['000072']
['nơ'],['nơ'],['000073']
['không nghe lời'],['không nghe lời'],['000074']
['nơi chốn'],['nơi chốn'],['000075']
['không nghe lời'],['không nghe lời'],['000076']
['núi lửa'],['núi lửa'],['000077']
['không nghe lời'],['không nghe lời'],['000078']
['nước mắt'],['nước mắt'],['000079']
['ai cho'],['ai cho'],['000080']
